,fold,f1,auc,tpr,fpr,p-total,n-total,tp,fp,best_itr
0,0,0.2222222222222222,0.9863729699458652,0.9393939393939394,0.049053159936116815,33,4383,31,215,1492
0,1,0.36283185840707965,0.9902386944253794,0.9111111111111111,0.03202928391672386,45,4371,41,140,1492
0,2,0.3624161073825503,0.9929179472265235,0.9310344827586207,0.02119899703669934,29,4387,27,93,1492
0,3,0.2786885245901639,0.9988232619713037,1.0,0.020004546487838146,17,4399,17,88,1492
0,4,0.3482587064676617,0.9916876142595978,0.875,0.028793418647166363,40,4376,35,126,1492
0,0,0.087527352297593,0.8080489503531988,0.43478260869565216,0.08947368421052632,46,4370,20,391,558
0,1,0.03361344537815126,0.6914750303582271,0.16666666666666666,0.04781420765027322,24,4392,4,210,558
0,2,0.08695652173913043,0.7887794309517254,0.10526315789473684,0.00568569479190357,19,4397,2,25,558
0,3,0.08264462809917356,0.6619015047879617,0.16666666666666666,0.0196078431372549,30,4386,5,86,558
0,4,0.05263157894736842,0.8226136363636365,0.1875,0.02159090909090909,16,4400,3,95,558
